Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,10/31/2017,2900,35.1,33.5,36.5,36.2,-5035.56,0,0,0,0,395.56
KDH,10/31/2017,4100,26.791,29.05,31.0426,28.8,8799.37285,0,0,0,0,462.52715
PVT,10/31/2017,12260,15.85,17.8,22.95,16.25,23069.9485,0,0,0,0,837.0515
PNJ,11/14/2017,1910,119,127,136.85,116.1,11476.92,0,0,0,0,1403.08
MSN,11/21/2017,1620,62,69,71.548,66.5,10909.89,0,0,0,0,430.11
IDI,11/23/2017,12000,11.4,13.2,14,11.6,11490,0,0,0,0,510
PVB,11/27/2017,1100,18.4,18,21.3,17.7,-519.86,0,0,0,0,79.86
PVC,11/27/2017,44200,11.271,12.3,13.1,10.70745,43375.3827,0,0,0,0,2106.4173
IDI,11/27/2017,10000,12.75,13.2,14,11.6,11490,0,0,0,0,510
PNJ,11/27/2017,2800,122.4,127,136.85,116.1,11476.92,0,0,0,0,1403.08
PC1,11/27/2017,13000,37.5,37.4,43.05,36.7,-3246.75,0,0,0,0,1946.75
SHS,11/28/2017,15000,19.533,21.3,22.541082,18.55635,25266.7575,0,0,0,0,1238.2425
PPC,11/29/2017,4250,23.45,24.1,27.1,22.3,2356.94375,0,0,0,0,405.55625
IDI,11/29/2017,10000,12,13.2,13.85,11.6,11490,0,0,0,0,510
SBA,11/29/2017,3000,16.7,17,19.3,16.5,697.35,0,0,0,0,202.65
